inventory_id,product_id,warehouse_id,quantity_on_hand,created_at,updated_at
1,1,1,45,2023-01-15T11:30:00,2023-05-26T09:15:00
2,2,1,32,2023-01-20T12:45:00,2023-05-20T14:30:00
3,3,1,18,2023-01-10T15:20:00,2023-03-26T10:45:00
4,4,1,24,2023-01-12T17:30:00,2023-04-26T13:20:00
5,5,1,56,2023-01-18T10:10:00,2023-05-15T15:35:00
6,6,1,38,2023-01-22T11:05:00,2023-06-11T09:50:00
7,7,1,12,2023-01-25T14:40:00,2023-04-16T11:25:00
8,8,1,15,2023-01-28T16:20:00,2023-05-06T14:40:00
9,9,1,42,2023-02-01T12:15:00,2023-05-21T10:05:00
10,10,1,29,2023-02-05T13:30:00,2023-05-23T16:30:00
11,11,1,78,2023-02-08T10:45:00,2023-06-01T13:15:00
12,12,1,65,2023-02-10T11:50:00,2023-06-02T15:40:00
13,13,1,34,2023-02-12T15:15:00,2023-05-13T09:25:00
14,14,1,89,2023-02-15T17:25:00,2023-05-31T11:50:00
15,15,1,112,2023-02-18T11:30:00,2023-06-05T14:05:00
16,16,1,67,2023-02-20T12:40:00,2023-05-09T16:30:00
17,17,1,43,2023-02-22T14:55:00,2023-05-12T10:15:00
18,18,1,95,2023-02-25T16:10:00,2023-06-08T12:40:00
19,19,1,28,2023-02-28T10:20:00,2023-05-16T15:05:00
20,20,1,36,2023-03-02T11:35:00,2023-05-11T09:30:00
21,21,1,14,2023-03-05T15:50:00,2023-06-04T11:55:00
22,22,1,22,2023-03-08T17:05:00,2023-05-25T14:20:00
23,23,1,76,2023-03-10T10:30:00,2023-06-07T16:45:00
24,24,1,31,2023-03-12T11:45:00,2023-04-11T10:10:00
25,25,1,124,2023-03-15T14:00:00,2023-06-10T12:35:00
26,26,1,98,2023-03-18T15:15:00,2023-05-27T15:00:00
27,27,1,156,2023-03-20T17:30:00,2023-06-09T09:25:00
28,28,1,17,2023-03-22T10:40:00,2023-05-19T11:50:00
29,29,1,245,2023-03-25T11:55:00,2023-06-03T14:15:00
30,30,1,19,2023-03-28T15:10:00,2023-05-29T16:40:00
31,31,1,87,2023-03-30T16:25:00,2023-06-06T10:05:00
32,32,1,54,2023-04-02T10:35:00,2023-05-14T12:30:00
33,33,1,11,2023-04-05T11:50:00,2023-05-05T14:55:00
34,34,1,26,2023-04-08T14:05:00,2023-05-18T09:20:00
35,35,1,92,2023-04-10T15:20:00,2023-06-12T11:45:00
36,36,1,63,2023-04-12T17:35:00,2023-05-22T14:10:00
37,37,1,48,2023-04-15T10:45:00,2023-05-24T16:35:00
38,38,1,72,2023-04-18T12:00:00,2023-05-28T10:00:00
39,39,1,39,2023-04-20T15:15:00,2023-05-17T12:25:00
40,40,1,58,2023-04-22T16:30:00,2023-05-30T14:50:00
41,41,1,104,2023-04-25T10:50:00,2023-05-08T09:15:00
42,42,1,47,2023-04-28T12:05:00,2023-06-13T11:40:00
43,43,1,83,2023-04-30T15:20:00,2023-05-07T14:05:00
44,44,1,51,2023-05-02T16:35:00,2023-05-10T16:30:00
45,45,1,37,2023-05-05T10:55:00,2023-05-23T10:55:00
46,46,1,21,2023-05-08T12:10:00,2023-05-16T13:20:00
47,47,1,33,2023-05-10T15:25:00,2023-05-10T15:25:00
48,48,1,69,2023-05-12T16:40:00,2023-05-20T15:45:00
49,49,1,44,2023-05-15T10:00:00,2023-05-15T10:00:00
50,50,1,57,2023-05-18T11:15:00,2023-05-25T12:10:00
51,1,2,38,2023-01-15T11:30:00,2023-05-26T09:15:00
52,2,2,27,2023-01-20T12:45:00,2023-05-20T14:30:00
53,3,2,14,2023-01-10T15:20:00,2023-03-26T10:45:00
54,4,2,19,2023-01-12T17:30:00,2023-04-26T13:20:00
55,5,2,48,2023-01-18T10:10:00,2023-05-15T15:35:00
56,6,2,32,2023-01-22T11:05:00,2023-06-11T09:50:00
57,7,2,9,2023-01-25T14:40:00,2023-04-16T11:25:00
58,8,2,11,2023-01-28T16:20:00,2023-05-06T14:40:00
59,9,2,35,2023-02-01T12:15:00,2023-05-21T10:05:00
60,10,2,24,2023-02-05T13:30:00,2023-05-23T16:30:00
61,11,2,65,2023-02-08T10:45:00,2023-06-01T13:15:00
62,12,2,53,2023-02-10T11:50:00,2023-06-02T15:40:00
63,13,2,28,2023-02-12T15:15:00,2023-05-13T09:25:00
64,14,2,74,2023-02-15T17:25:00,2023-05-31T11:50:00
65,15,2,96,2023-02-18T11:30:00,2023-06-05T14:05:00
66,16,2,58,2023-02-20T12:40:00,2023-05-09T16:30:00
67,17,2,36,2023-02-22T14:55:00,2023-05-12T10:15:00
68,18,2,82,2023-02-25T16:10:00,2023-06-08T12:40:00
69,19,2,22,2023-02-28T10:20:00,2023-05-16T15:05:00
70,20,2,31,2023-03-02T11:35:00,2023-05-11T09:30:00
71,21,2,10,2023-03-05T15:50:00,2023-06-04T11:55:00
72,22,2,18,2023-03-08T17:05:00,2023-05-25T14:20:00
73,23,2,64,2023-03-10T10:30:00,2023-06-07T16:45:00
74,24,2,26,2023-03-12T11:45:00,2023-04-11T10:10:00
75,25,2,105,2023-03-15T14:00:00,2023-06-10T12:35:00
