order_item_id,order_id,product_id,quantity,unit_price,created_at,updated_at
1,1,31,1,29.99,2023-02-10T14:30:00,2023-02-10T14:30:00
2,1,5,1,99.99,2023-02-10T14:30:00,2023-02-10T14:30:00
3,2,13,1,129.99,2023-02-12T11:15:00,2023-02-12T11:15:00
4,2,14,2,59.99,2023-02-12T11:15:00,2023-02-12T11:15:00
5,3,12,1,79.99,2023-02-15T16:45:00,2023-02-15T16:45:00
6,4,9,1,399.99,2023-02-18T10:20:00,2023-02-18T10:20:00
7,5,15,2,24.99,2023-02-20T15:35:00,2023-02-20T15:35:00
8,5,16,1,99.99,2023-02-20T15:35:00,2023-02-20T15:35:00
9,6,21,1,1299.99,2023-02-22T09:10:00,2023-02-22T09:10:00
10,7,25,1,24.99,2023-02-25T14:25:00,2023-02-25T14:25:00
11,7,26,1,19.99,2023-02-25T14:25:00,2023-02-25T14:25:00
12,7,27,3,14.99,2023-02-25T14:25:00,2023-02-25T14:25:00
13,8,30,1,599.99,2023-02-28T16:50:00,2023-02-28T16:50:00
14,9,35,1,24.99,2023-03-02T11:30:00,2023-03-02T11:30:00
15,9,36,1,49.99,2023-03-02T11:30:00,2023-03-02T11:30:00
16,10,10,1,179.99,2023-03-05T15:45:00,2023-03-05T15:45:00
17,11,19,1,149.99,2023-03-08T10:05:00,2023-03-08T10:05:00
18,11,20,1,79.99,2023-03-08T10:05:00,2023-03-08T10:05:00
19,12,5,1,349.99,2023-03-10T13:20:00,2023-03-10T13:20:00
20,13,17,1,119.99,2023-03-12T16:40:00,2023-03-12T16:40:00
21,14,2,1,899.99,2023-03-15T11:15:00,2023-03-15T11:15:00
22,15,37,1,49.99,2023-03-18T14:30:00,2023-03-18T14:30:00
23,15,39,1,14.99,2023-03-18T14:30:00,2023-03-18T14:30:00
24,16,33,1,449.99,2023-03-20T09:55:00,2023-03-20T09:55:00
25,17,40,1,44.99,2023-03-22T13:10:00,2023-03-22T13:10:00
26,17,41,1,19.99,2023-03-22T13:10:00,2023-03-22T13:10:00
27,17,42,1,44.99,2023-03-22T13:10:00,2023-03-22T13:10:00
28,18,3,1,2399.99,2023-03-25T16:25:00,2023-03-25T16:25:00
29,19,43,1,34.99,2023-03-28T11:50:00,2023-03-28T11:50:00
30,19,44,1,59.99,2023-03-28T11:50:00,2023-03-28T11:50:00
31,20,6,1,329.99,2023-03-30T15:05:00,2023-03-30T15:05:00
32,21,45,1,129.99,2023-04-02T10:30:00,2023-04-02T10:30:00
33,21,18,1,9.99,2023-04-02T10:30:00,2023-04-02T10:30:00
34,22,47,1,799.99,2023-04-05T14:45:00,2023-04-05T14:45:00
35,23,27,1,14.99,2023-04-08T09:20:00,2023-04-08T09:20:00
36,23,29,4,9.99,2023-04-08T09:20:00,2023-04-08T09:20:00
37,24,24,1,199.99,2023-04-10T13:35:00,2023-04-10T13:35:00
38,25,48,1,89.99,2023-04-12T16:50:00,2023-04-12T16:50:00
39,25,23,2,34.99,2023-04-12T16:50:00,2023-04-12T16:50:00
40,26,7,1,3899.99,2023-04-15T11:25:00,2023-04-15T11:25:00
41,27,35,1,24.99,2023-04-18T14:40:00,2023-04-18T14:40:00
42,27,36,1,44.99,2023-04-18T14:40:00,2023-04-18T14:40:00
43,28,45,1,129.99,2023-04-20T09:15:00,2023-04-20T09:15:00
44,29,41,2,19.99,2023-04-22T13:30:00,2023-04-22T13:30:00
45,29,42,1,59.99,2023-04-22T13:30:00,2023-04-22T13:30:00
46,30,4,1,1799.99,2023-04-25T16:45:00,2023-04-25T16:45:00
47,31,25,1,24.99,2023-04-28T11:20:00,2023-04-28T11:20:00
48,31,26,3,19.99,2023-04-28T11:20:00,2023-04-28T11:20:00
49,32,19,1,249.99,2023-04-30T14:35:00,2023-04-30T14:35:00
50,33,17,1,119.99,2023-05-02T09:50:00,2023-05-02T09:50:00
51,34,8,1,2199.99,2023-05-05T13:05:00,2023-05-05T13:05:00
52,35,15,1,24.99,2023-05-08T16:20:00,2023-05-08T16:20:00
53,35,16,1,34.99,2023-05-08T16:20:00,2023-05-08T16:20:00
54,36,10,1,179.99,2023-05-10T11:45:00,2023-05-10T11:45:00
55,37,20,1,129.99,2023-05-12T15:00:00,2023-05-12T15:00:00
56,37,18,2,9.99,2023-05-12T15:00:00,2023-05-12T15:00:00
57,38,46,1,1499.99,2023-05-15T10:25:00,2023-05-15T10:25:00
58,39,38,1,44.99,2023-05-18T14:40:00,2023-05-18T14:40:00
59,40,9,1,399.99,2023-05-20T09:15:00,2023-05-20T09:15:00
60,41,45,1,129.99,2023-05-22T13:30:00,2023-05-22T13:30:00
61,42,1,1,999.99,2023-05-25T16:45:00,2023-05-25T16:45:00
62,43,39,1,34.99,2023-05-28T11:20:00,2023-05-28T11:20:00
63,44,48,1,89.99,2023-05-30T14:35:00,2023-05-30T14:35:00
64,45,11,1,59.99,2023-06-01T09:50:00,2023-06-01T09:50:00
65,45,12,1,79.99,2023-06-01T09:50:00,2023-06-01T09:50:00
66,45,14,1,29.99,2023-06-01T09:50:00,2023-06-01T09:50:00
67,46,21,1,1299.99,2023-06-03T13:05:00,2023-06-03T13:05:00
68,47,37,1,49.99,2023-06-05T16:20:00,2023-06-05T16:20:00
69,48,31,1,29.99,2023-06-08T11:45:00,2023-06-08T11:45:00
70,48,50,1,89.99,2023-06-08T11:45:00,2023-06-08T11:45:00
71,49,6,1,329.99,2023-06-10T15:00:00,2023-06-10T15:00:00
72,50,5,1,349.99,2023-06-12T10:25:00,2023-06-12T10:25:00
