event_id,session_id,customer_id,event_type,product_id,page_url,device_type,created_at
1,s1001,,page_view,,https://example.com/home,desktop,2023-02-01T09:15:30
2,s1001,,page_view,,https://example.com/products,desktop,2023-02-01T09:16:45
3,s1001,,product_view,8,https://example.com/products/8,desktop,2023-02-01T09:18:20
4,s1001,,add_to_cart,8,https://example.com/products/8,desktop,2023-02-01T09:20:05
5,s1001,,checkout,,https://example.com/checkout,desktop,2023-02-01T09:22:30
6,s1001,,purchase,8,https://example.com/order-confirmation,desktop,2023-02-01T09:25:15
7,s1002,15,page_view,,https://example.com/home,mobile,2023-02-02T14:30:10
8,s1002,15,page_view,,https://example.com/products/category/10,mobile,2023-02-02T14:32:25
9,s1002,15,product_view,5,https://example.com/products/5,mobile,2023-02-02T14:34:50
10,s1002,15,add_to_cart,5,https://example.com/products/5,mobile,2023-02-02T14:36:15
11,s1002,15,product_view,31,https://example.com/products/31,mobile,2023-02-02T14:38:40
12,s1002,15,add_to_cart,31,https://example.com/products/31,mobile,2023-02-02T14:40:05
13,s1002,15,checkout,,https://example.com/checkout,mobile,2023-02-02T14:42:30
14,s1002,15,purchase,"5,31",https://example.com/order-confirmation,mobile,2023-02-02T14:45:55
15,s1003,8,page_view,,https://example.com/home,tablet,2023-02-03T11:10:20
16,s1003,8,page_view,,https://example.com/products/category/14,tablet,2023-02-03T11:12:45
17,s1003,8,product_view,13,https://example.com/products/13,tablet,2023-02-03T11:15:10
18,s1003,8,add_to_cart,13,https://example.com/products/13,tablet,2023-02-03T11:17:35
19,s1003,8,product_view,14,https://example.com/products/14,tablet,2023-02-03T11:20:00
20,s1003,8,add_to_cart,14,https://example.com/products/14,tablet,2023-02-03T11:22:25
21,s1003,8,checkout,,https://example.com/checkout,tablet,2023-02-03T11:24:50
22,s1003,8,purchase,"13,14",https://example.com/order-confirmation,tablet,2023-02-03T11:27:15
23,s1004,,page_view,,https://example.com/home,desktop,2023-02-04T16:45:30
24,s1004,,page_view,,https://example.com/products/category/13,desktop,2023-02-04T16:47:55
25,s1004,,product_view,12,https://example.com/products/12,desktop,2023-02-04T16:50:20
26,s1004,,add_to_cart,12,https://example.com/products/12,desktop,2023-02-04T16:52:45
27,s1004,,remove_from_cart,12,https://example.com/cart,desktop,2023-02-04T16:55:10
28,s1004,,page_view,,https://example.com/products/category/16,desktop,2023-02-04T16:57:35
29,s1005,22,page_view,,https://example.com/home,mobile,2023-02-05T10:20:40
30,s1005,22,page_view,,https://example.com/products/category/13,mobile,2023-02-05T10:23:05
31,s1005,22,product_view,12,https://example.com/products/12,mobile,2023-02-05T10:25:30
32,s1005,22,add_to_cart,12,https://example.com/products/12,mobile,2023-02-05T10:27:55
33,s1005,22,checkout,,https://example.com/checkout,mobile,2023-02-05T10:30:20
34,s1005,22,purchase,12,https://example.com/order-confirmation,mobile,2023-02-05T10:32:45
35,s1006,37,page_view,,https://example.com/home,desktop,2023-02-06T13:55:50
36,s1006,37,page_view,,https://example.com/products/category/12,desktop,2023-02-06T13:58:15
37,s1006,37,product_view,9,https://example.com/products/9,desktop,2023-02-06T14:00:40
38,s1006,37,add_to_cart,9,https://example.com/products/9,desktop,2023-02-06T14:03:05
39,s1006,37,checkout,,https://example.com/checkout,desktop,2023-02-06T14:05:30
40,s1006,37,purchase,9,https://example.com/order-confirmation,desktop,2023-02-06T14:07:55
41,s1007,,page_view,,https://example.com/home,mobile,2023-02-07T09:30:00
42,s1007,,page_view,,https://example.com/products/category/15,mobile,2023-02-07T09:32:25
43,s1007,,product_view,15,https://example.com/products/15,mobile,2023-02-07T09:34:50
44,s1007,,product_view,16,https://example.com/products/16,mobile,2023-02-07T09:37:15
45,s1008,3,page_view,,https://example.com/home,tablet,2023-02-08T15:05:10
46,s1008,3,page_view,,https://example.com/products/category/15,tablet,2023-02-08T15:07:35
47,s1008,3,product_view,15,https://example.com/products/15,tablet,2023-02-08T15:10:00
48,s1008,3,add_to_cart,15,https://example.com/products/15,tablet,2023-02-08T15:12:25
49,s1008,3,product_view,16,https://example.com/products/16,tablet,2023-02-08T15:14:50
50,s1008,3,add_to_cart,16,https://example.com/products/16,tablet,2023-02-08T15:17:15
51,s1008,3,checkout,,https://example.com/checkout,tablet,2023-02-08T15:19:40
52,s1008,3,purchase,"15,16",https://example.com/order-confirmation,tablet,2023-02-08T15:22:05
53,s1009,41,page_view,,https://example.com/home,desktop,2023-02-09T11:40:20
54,s1009,41,page_view,,https://example.com/products/category/19,desktop,2023-02-09T11:42:45
55,s1009,41,product_view,21,https://example.com/products/21,desktop,2023-02-09T11:45:10
56,s1009,41,add_to_cart,21,https://example.com/products/21,desktop,2023-02-09T11:47:35
57,s1009,41,checkout,,https://example.com/checkout,desktop,2023-02-09T11:50:00
58,s1009,41,purchase,21,https://example.com/order-confirmation,desktop,2023-02-09T11:52:25
59,s1010,19,page_view,,https://example.com/home,mobile,2023-02-10T14:15:30
60,s1010,19,page_view,,https://example.com/products/category/23,mobile,2023-02-10T14:17:55
61,s1010,19,product_view,25,https://example.com/products/25,mobile,2023-02-10T14:20:20
62,s1010,19,add_to_cart,25,https://example.com/products/25,mobile,2023-02-10T14:22:45
63,s1010,19,product_view,26,https://example.com/products/26,mobile,2023-02-10T14:25:10
64,s1010,19,add_to_cart,26,https://example.com/products/26,mobile,2023-02-10T14:27:35
65,s1010,19,product_view,27,https://example.com/products/27,mobile,2023-02-10T14:30:00
66,s1010,19,add_to_cart,27,https://example.com/products/27,mobile,2023-02-10T14:32:25
67,s1010,19,checkout,,https://example.com/checkout,mobile,2023-02-10T14:34:50
68,s1010,19,purchase,"25,26,27",https://example.com/order-confirmation,mobile,2023-02-10T14:37:15
69,s1011,,page_view,,https://example.com/home,desktop,2023-02-11T10:50:40
70,s1011,,page_view,,https://example.com/products/category/28,desktop,2023-02-11T10:53:05
71,s1011,,product_view,30,https://example.com/products/30,desktop,2023-02-11T10:55:30
72,s1012,29,page_view,,https://example.com/home,tablet,2023-02-12T16:25:50
73,s1012,29,page_view,,https://example.com/products/category/28,tablet,2023-02-12T16:28:15
74,s1012,29,product_view,30,https://example.com/products/30,tablet,2023-02-12T16:30:40
75,s1012,29,add_to_cart,30,https://example.com/products/30,tablet,2023-02-12T16:33:05
76,s1012,29,checkout,,https://example.com/checkout,tablet,2023-02-12T16:35:30
77,s1012,29,purchase,30,https://example.com/order-confirmation,tablet,2023-02-12T16:37:55
78,s1013,7,page_view,,https://example.com/home,mobile,2023-02-13T09:00:00
79,s1013,7,page_view,,https://example.com/products/category/33,mobile,2023-02-13T09:02:25
80,s1013,7,product_view,35,https://example.com/products/35,mobile,2023-02-13T09:04:50
81,s1013,7,add_to_cart,35,https://example.com/products/35,mobile,2023-02-13T09:07:15
82,s1013,7,product_view,36,https://example.com/products/36,mobile,2023-02-13T09:09:40
83,s1013,7,add_to_cart,36,https://example.com/products/36,mobile,2023-02-13T09:12:05
84,s1013,7,checkout,,https://example.com/checkout,mobile,2023-02-13T09:14:30
85,s1013,7,purchase,"35,36",https://example.com/order-confirmation,mobile,2023-02-13T09:16:55
86,s1014,33,page_view,,https://example.com/home,desktop,2023-02-14T13:35:10
87,s1014,33,page_view,,https://example.com/products/category/12,desktop,2023-02-14T13:37:35
88,s1014,33,product_view,10,https://example.com/products/10,desktop,2023-02-14T13:40:00
89,s1014,33,add_to_cart,10,https://example.com/products/10,desktop,2023-02-14T13:42:25
90,s1014,33,checkout,,https://example.com/checkout,desktop,2023-02-14T13:44:50
91,s1014,33,purchase,10,https://example.com/order-confirmation,desktop,2023-02-14T13:47:15
92,s1015,12,page_view,,https://example.com/home,tablet,2023-02-15T10:10:20
93,s1015,12,page_view,,https://example.com/products/category/10,tablet,2023-02-15T10:12:45
94,s1015,12,product_view,5,https://example.com/products/5,tablet,2023-02-15T10:15:10
95,s1015,12,add_to_cart,5,https://example.com/products/5,tablet,2023-02-15T10:17:35
96,s1015,12,checkout,,https://example.com/checkout,tablet,2023-02-15T10:20:00
97,s1015,12,purchase,5,https://example.com/order-confirmation,tablet,2023-02-15T10:22:25
98,s1016,,page_view,,https://example.com/home,mobile,2023-02-16T15:45:30
99,s1016,,page_view,,https://example.com/products/category/17,mobile,2023-02-16T15:47:55
100,s1016,,product_view,17,https://example.com/products/17,mobile,2023-02-16T15:50:20
